"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"1","RAT06","Morphine","2016-07-12",10,300,"EEG_FL","baseline",13.9798225214633,24,4.44918619951714,13.64008120095
"2","RAT06","Morphine","2016-07-12",10,300,"EEG_FR","baseline",14.9438974856003,29,3.99212621091681,15.5617249198
"3","RAT06","Morphine","2016-07-12",10,300,"EEG_PL","baseline",13.9758125096154,24,4.62529874621746,13.6891975109
"4","RAT06","Morphine","2016-07-12",10,300,"EEG_PR","baseline",10.9477947815484,25,3.34124325676444,11.2304718584
"5","RAT06","Morphine","2016-07-12",10,300,"EEG_OL","baseline",11.8476382307553,26,4.13080046705644,12.69967307385
"6","RAT06","Morphine","2016-07-12",10,300,"EEG_OR","baseline",-13.533934754609,30,3.52803947523418,-13.0385516931
"7","RAT06","Morphine","2016-07-12",10,600,"EEG_FL","baseline",12.3854774831679,29,3.28226143910547,12.4912090649
"8","RAT06","Morphine","2016-07-12",10,600,"EEG_FR","baseline",12.1965470059683,30,3.27525051455028,12.2348475657
"9","RAT06","Morphine","2016-07-12",10,600,"EEG_PL","baseline",12.2668157911903,29,3.44381567123009,12.8452150927
"10","RAT06","Morphine","2016-07-12",10,600,"EEG_PR","baseline",8.68234959389467,30,3.03359350791841,8.398950187605
"11","RAT06","Morphine","2016-07-12",10,600,"EEG_OL","baseline",11.3328107790353,30,3.92631728348276,10.98157069075
"12","RAT06","Morphine","2016-07-12",10,600,"EEG_OR","baseline",-14.3641568594713,30,3.02100760586914,-13.71743659825
"13","RAT06","Morphine","2016-07-12",10,900,"EEG_FL","baseline",13.0222797462272,29,4.05166126451602,13.1141891889
"14","RAT06","Morphine","2016-07-12",10,900,"EEG_FR","baseline",12.818195623219,29,4.2613940530006,12.7039939707
"15","RAT06","Morphine","2016-07-12",10,900,"EEG_PL","baseline",13.0032281815679,29,4.04191031359781,12.3152888592
"16","RAT06","Morphine","2016-07-12",10,900,"EEG_PR","baseline",10.1713859254017,30,3.03112746125439,10.38144716135
"17","RAT06","Morphine","2016-07-12",10,900,"EEG_OL","baseline",13.4135974811783,30,2.59184851953118,12.5629847069
"18","RAT06","Morphine","2016-07-12",10,900,"EEG_OR","baseline",-14.1641107133223,30,3.37275292147054,-14.11131658005
"19","RAT06","Morphine","2016-07-12",10,1200,"EEG_FL","baseline",11.7543663277904,28,3.79925888692001,12.1773563908
"20","RAT06","Morphine","2016-07-12",10,1200,"EEG_FR","baseline",12.2990463450796,28,3.98413295109724,13.18301161265
"21","RAT06","Morphine","2016-07-12",10,1200,"EEG_PL","baseline",11.8304349480439,28,3.62659596025704,12.1800698513
"22","RAT06","Morphine","2016-07-12",10,1200,"EEG_PR","baseline",9.12321087435153,30,4.76417627473844,9.00033118702
"23","RAT06","Morphine","2016-07-12",10,1200,"EEG_OL","baseline",12.5028212031103,30,4.14190462260812,12.5724630905
"24","RAT06","Morphine","2016-07-12",10,1200,"EEG_OR","baseline",-14.375280091744,30,3.57364711124434,-13.96174878535
"25","RAT06","Morphine","2016-07-12",10,1500,"EEG_FL","baseline",12.3759039321842,26,2.869867520534,12.34664383495
"26","RAT06","Morphine","2016-07-12",10,1500,"EEG_FR","baseline",13.2463117088089,27,2.49831284047938,13.4554881752
"27","RAT06","Morphine","2016-07-12",10,1500,"EEG_PL","baseline",12.4116381793177,26,2.76793900839811,12.25518905455
"28","RAT06","Morphine","2016-07-12",10,1500,"EEG_PR","baseline",10.884946073749,30,3.48857080956019,10.8479541391
"29","RAT06","Morphine","2016-07-12",10,1500,"EEG_OL","baseline",12.7824887769993,28,2.71864284288619,13.07264102455
"30","RAT06","Morphine","2016-07-12",10,1500,"EEG_OR","baseline",-13.9239452484077,30,2.92096274936747,-14.61438976355
"31","RAT06","Morphine","2016-07-12",10,1800,"EEG_FL","baseline",13.5277861415303,30,3.6338078427873,12.70550053645
"32","RAT06","Morphine","2016-07-12",10,1800,"EEG_FR","baseline",14.444890688512,30,3.84193976897211,15.0367130148
"33","RAT06","Morphine","2016-07-12",10,1800,"EEG_PL","baseline",13.460436960589,30,3.70070795518322,12.76819632415
"34","RAT06","Morphine","2016-07-12",10,1800,"EEG_PR","baseline",11.1582228634173,30,3.11838608342543,11.2715508717
"35","RAT06","Morphine","2016-07-12",10,1800,"EEG_OL","baseline",12.8501690564737,30,3.67579619485622,12.82904701785
"36","RAT06","Morphine","2016-07-12",10,1800,"EEG_OR","baseline",-13.6459717196283,30,2.96525329853472,-12.64381043085
"37","RAT06","Morphine","2016-07-12",10,2100,"EEG_FL","0.032",12.1801445636504,25,4.30202293441532,13.0121072569
"38","RAT06","Morphine","2016-07-12",10,2100,"EEG_FR","0.032",12.9585962478393,28,3.55484606257695,13.10119052305
"39","RAT06","Morphine","2016-07-12",10,2100,"EEG_PL","0.032",12.2906747684892,25,4.07457797858222,12.7245194135
"40","RAT06","Morphine","2016-07-12",10,2100,"EEG_PR","0.032",10.4095433114517,29,3.81945114003527,9.93266114832
"41","RAT06","Morphine","2016-07-12",10,2100,"EEG_OL","0.032",13.3586395075973,26,3.65260988350094,13.1067598121
"42","RAT06","Morphine","2016-07-12",10,2100,"EEG_OR","0.032",-14.0831612837273,30,2.72466034597133,-14.1528983891
"43","RAT06","Morphine","2016-07-12",10,2400,"EEG_FL","0.032",11.8932322965,29,2.76335231115337,12.5036384032
"44","RAT06","Morphine","2016-07-12",10,2400,"EEG_FR","0.032",12.0965198297566,29,2.98184403235425,11.1908289615
"45","RAT06","Morphine","2016-07-12",10,2400,"EEG_PL","0.032",11.9021736617159,29,2.68037976759807,12.6237833774
"46","RAT06","Morphine","2016-07-12",10,2400,"EEG_PR","0.032",9.61477529645667,30,2.99416163578622,9.57301570167
"47","RAT06","Morphine","2016-07-12",10,2400,"EEG_OL","0.032",12.656227197003,30,3.16581816554582,13.4636654193
"48","RAT06","Morphine","2016-07-12",10,2400,"EEG_OR","0.032",-12.9267045548573,30,1.96754942531921,-12.65472462305
"49","RAT06","Morphine","2016-07-12",10,2700,"EEG_FL","0.032",13.0254102589165,26,3.85434882693386,12.98148023215
"50","RAT06","Morphine","2016-07-12",10,2700,"EEG_FR","0.032",12.6568842269503,29,4.00909893767275,12.2216779495
"51","RAT06","Morphine","2016-07-12",10,2700,"EEG_PL","0.032",12.9637494625679,24,4.00007977374432,12.8165651106
"52","RAT06","Morphine","2016-07-12",10,2700,"EEG_PR","0.032",10.7969077813096,27,3.84367274941529,11.3204170199
"53","RAT06","Morphine","2016-07-12",10,2700,"EEG_OL","0.032",13.1622312219288,26,3.74660657188704,13.1991430097
