"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"1","RAT06","Methyl","2016-10-21",13,100,"EEG_FL","baseline",10.5913408817056,9,3.67494245830813,10.9615963537
"2","RAT06","Methyl","2016-10-21",13,100,"EEG_FR","baseline",17.3410584109,4,6.69421506977944,19.5229864147
"3","RAT06","Methyl","2016-10-21",13,100,"EEG_PL","baseline",11.8790823991522,9,4.65198452809468,11.7033974665
"4","RAT06","Methyl","2016-10-21",13,100,"EEG_PR","baseline",11.1154176171556,9,2.90274319474741,10.2519164077
"5","RAT06","Methyl","2016-10-21",13,100,"EEG_OL","baseline",8.11434249781222,9,3.94038559844947,7.94824635706
"6","RAT06","Methyl","2016-10-21",13,100,"EEG_OR","baseline",14.14859536593,9,2.56787394923246,15.1191300741
"7","RAT06","Methyl","2016-10-21",13,200,"EEG_FL","baseline",9.75177339331,10,4.24005880493409,12.05916837615
"8","RAT06","Methyl","2016-10-21",13,200,"EEG_FR","baseline",20.1390725002286,7,2.25442948594105,19.8350893617
"9","RAT06","Methyl","2016-10-21",13,200,"EEG_PL","baseline",10.41710917518,10,3.19334101478223,10.94081827555
"10","RAT06","Methyl","2016-10-21",13,200,"EEG_PR","baseline",9.606727328379,10,3.48492671568934,10.25954848101
"11","RAT06","Methyl","2016-10-21",13,200,"EEG_OL","baseline",7.142057462619,10,2.66070096642038,7.51909320675
"12","RAT06","Methyl","2016-10-21",13,200,"EEG_OR","baseline",12.659661843058,10,3.98416124727372,13.72640374215
"13","RAT06","Methyl","2016-10-21",13,300,"EEG_FL","baseline",7.78301694069211,9,4.17308763995783,8.50953466641
"14","RAT06","Methyl","2016-10-21",13,300,"EEG_PL","baseline",8.78849492632667,9,1.49549085776197,8.70571954627
"15","RAT06","Methyl","2016-10-21",13,300,"EEG_PR","baseline",10.3696681149878,9,2.9569910928021,9.50805234028
"16","RAT06","Methyl","2016-10-21",13,300,"EEG_OL","baseline",4.85840943952556,9,2.25831779596628,5.00459826347
"17","RAT06","Methyl","2016-10-21",13,300,"EEG_OR","baseline",12.9015376592667,9,2.04836676931257,12.7121840332
"18","RAT06","Methyl","2016-10-21",13,400,"EEG_FL","baseline",10.2995677958871,7,3.49332315680333,9.37688026774
"19","RAT06","Methyl","2016-10-21",13,400,"EEG_PL","baseline",10.8255816110167,9,4.11974781133334,10.8010429413
"20","RAT06","Methyl","2016-10-21",13,400,"EEG_PR","baseline",12.574408470755,8,3.90721726240231,12.69244219315
"21","RAT06","Methyl","2016-10-21",13,400,"EEG_OL","baseline",7.413693030976,10,3.22089277271987,6.376987205765
"22","RAT06","Methyl","2016-10-21",13,400,"EEG_OR","baseline",14.2746142336589,9,3.12549677756357,14.1796035811
"23","RAT06","Methyl","2016-10-21",13,500,"EEG_FL","baseline",10.4626451173617,6,3.48039687278316,10.64824703142
